Adress,Radius,Budget,Tabu List's Max Size
"lane removed at (4843821515, 7571747348, 0)",51,91,35.423999999999985,48.66228723526001
"lane added at (541838356, 541838351, 0)",51,91,37.17799999999999,49.27286410331726
Status,Ending Time
None,49.285579204559326
Adress,Radius,Budget,Tabu List's Max Size
"Rua Roberto Sampaio Gonzaga, Florianópolis, Brazil",500,30000,40
Operation,Number of Nodes,Number of Edges,Value,Time
"lane reversed at (1992587306, 542607339, 0)",51,91,64.431,0.9980144500732422
"lane reversed at (541838255, 541838389, 0)",51,91,69.79499999999999,1.6137781143188477
"lane reversed at (541838634, 541838707, 0)",51,91,56.16499999999999,2.1929996013641357
"lane removed at (876375228, 876375198, 0)",51,91,55.050000000000026,2.780747413635254
"lane reversed at (541838077, 8841353743, 0)",51,91,55.76500000000003,3.3596081733703613
"lane removed at (4843821513, 876375228, 0)",51,91,52.362999999999985,3.9756033420562744
"lane added at (4843821512, 4843821513, 0)",51,91,53.66400000000001,4.573420524597168
"lane added at (542655556, 2892189217, 0)",51,91,56.36000000000001,5.187997579574585
"lane reversed at (7571747348, 7571747349, 0)",51,91,52.67099999999999,5.778547048568726
"lane removed at (5902767415, 865711234, 0)",51,91,57.01400000000002,6.362873077392578
"lane removed at (542607588, 1992587306, 0)",51,91,56.083999999999996,6.906278848648071
"lane removed at (542080382, 542396848, 0)",51,91,54.617,7.4732160568237305
"lane added at (1609339393, 10580486940, 0)",51,91,56.532,8.045374155044556
"lane added at (1424636458, 542607597, 0)",51,91,57.49400000000001,8.663390398025513
"lane reversed at (541838351, 541838356, 0)",51,91,49.84800000000001,9.706088781356812
"lane reversed at (542538468, 4175137733, 0)",51,91,35.44800000000001,10.260409355163574
"lane reversed at (6429267998, 542395697, 0)",51,91,32.93099999999998,10.867446660995483
"lane reversed at (10608526941, 3603873259, 0)",51,91,30.9,11.428629875183105
"lane added at (542607339, 541838351, 0)",51,91,32.36800000000001,11.977507829666138
"lane reversed at (541838333, 541838338, 0)",51,91,33.36699999999999,12.536185026168823
"lane removed at (542080261, 542080382, 0)",51,91,33.27300000000002,13.10295820236206
"lane reversed at (1424636458, 542607597, 0)",51,91,33.547999999999995,13.709699153900146
"lane removed at (3603873259, 10608526941, 0)",51,91,33.022000000000006,14.266969203948975
"lane added at (2892189217, 542655556, 0)",51,91,36.16400000000001,14.841442346572876
"lane reversed at (542396219, 542396390, 0)",51,91,33.914,15.410844326019287
"lane removed at (1609339393, 10580486940, 1)",51,91,35.318,15.966072797775269
"lane added at (876375198, 876375228, 0)",51,91,31.685,16.574984073638916
"lane added at (541838109, 541838255, 0)",51,91,31.84500000000001,17.102612495422363
"lane reversed at (542080261, 541838077, 0)",51,91,32.352000000000004,17.635496854782104
"lane added at (1424636458, 7571747348, 0)",51,91,35.99399999999999,18.22583293914795
"lane reversed at (7571747348, 1424636458, 0)",51,91,34.813,18.768122911453247
"lane removed at (1992587306, 5902767415, 0)",51,91,34.38300000000001,19.368603706359863
"lane added at (542080382, 542080261, 0)",51,91,38.00299999999999,19.93036651611328
"lane reversed at (10580486940, 10608526941, 0)",51,91,35.20799999999999,20.514075756072998
"lane removed at (876375228, 876375198, 0)",51,91,33.18899999999999,21.11303424835205
"lane reversed at (10608526941, 542538468, 0)",51,91,34.459999999999994,21.706180095672607
"lane removed at (4843821514, 4843821515, 0)",51,91,35.36699999999999,22.304784536361694
"lane removed at (4843821516, 4843821515, 0)",51,91,35.86099999999999,22.912617206573486
"lane added at (1424636458, 7571747348, 0)",51,91,36.179000000000016,23.548978567123413
"lane added at (541838707, 541838634, 0)",51,91,35.422999999999995,24.153393745422363
"lane removed at (2608953058, 4837454355, 0)",51,91,34.91499999999999,24.76872491836548
"lane removed at (541838356, 8841353743, 0)",51,91,36.72599999999999,25.394217014312744
"lane added at (542395697, 542396533, 0)",51,91,34.351000000000006,26.011619329452515
"lane removed at (541838077, 542080261, 0)",51,91,35.53400000000001,26.639479398727417
"lane added at (542395697, 542396533, 0)",51,91,34.538000000000004,27.25685477256775
"lane added at (542607588, 1992587306, 0)",51,91,36.61800000000001,27.88431167602539
"lane reversed at (4843821514, 4843821515, 0)",51,91,36.724999999999994,28.527672052383423
"lane added at (541838707, 541838634, 0)",51,91,38.023,29.124749183654785
"lane reversed at (542396848, 542080382, 0)",51,91,36.174,29.753387451171875
"lane reversed at (5902767415, 865711234, 0)",51,91,34.05499999999998,30.37605857849121
"lane added at (8841353743, 541838109, 0)",51,91,34.80200000000001,30.98849582672119
"lane removed at (2608953058, 876375198, 0)",51,91,33.279,31.608131408691406
"lane removed at (7571747349, 7571747348, 0)",51,91,35.38199999999999,32.2113983631134
"lane removed at (10608526941, 10580486940, 0)",51,91,35.294999999999995,32.80061435699463
"lane removed at (542080382, 542396848, 0)",51,91,35.89599999999999,33.418604612350464
"lane removed at (541838634, 541837978, 0)",51,91,37.33800000000001,34.04471731185913
"lane removed at (865711234, 5902767415, 0)",51,91,35.18399999999999,34.65498113632202
"lane added at (3603873259, 10608526941, 0)",51,91,35.45399999999999,35.269118785858154
"lane removed at (6426946701, 6429267998, 0)",51,91,31.067000000000007,35.85704565048218
"lane removed at (7571747348, 7571747349, 0)",51,91,37.39,36.46573448181152
"lane reversed at (542607597, 542607588, 0)",51,91,34.11399999999999,37.09426712989807
"lane removed at (542538468, 10608526941, 0)",51,91,35.196999999999996,37.72531199455261
"lane added at (7571747348, 4843821515, 0)",51,91,34.42899999999999,38.33885455131531
"lane reversed at (541838338, 541838333, 0)",51,91,33.382999999999996,38.93115544319153
"lane removed at (1424636458, 542607597, 0)",51,91,33.708000000000006,39.573370933532715
"lane removed at (4175137733, 10580484194, 0)",51,91,31.97,40.16860270500183
